"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"FAX","Aberdeen Asia-Pacific Income Fund Inc","7.225","1920498375.9","n/a","1986","n/a","n/a","http://www.nasdaq.com/symbol/fax",
"IAF","Aberdeen Australia Equity Fund Inc","10.15","229127307.85","n/a","1985","n/a","n/a","http://www.nasdaq.com/symbol/iaf",
"CH","Aberdeen Chile Fund, Inc.","14.95","140328130.15","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ch",
"ETF","Aberdeen Emerging Markets Smaller Company Opportunities Fund I","21.35","176066297.75","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/etf",
"FCO","Aberdeen Global Income Fund, Inc.","12.92","120166013","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/fco",
"IF","Aberdeen Indonesia Fund, Inc.","13.19","125110407.93","n/a","1990","n/a","n/a","http://www.nasdaq.com/symbol/if",
"ISL","Aberdeen Israel Fund, Inc.","14.28","60864073.2","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/isl",
"ACU","Acme United Corporation.","12.65","39786805.3","n/a","1988","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/acu",
"AQ            ","Acquity Group Limited","12.81","301245212.1","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/aq            ",
"AE","Adams Resources & Energy, Inc.","59.96","252887056.16","n/a","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/ae",
"ADK","Adcare Health Systems Inc","4.74","69480631.14","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/adk",
"ADK^A","Adcare Health Systems Inc","27.35","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adk^a",
"API","Advanced Photonix, Inc.","0.45","14022516.15","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/api",
"ACY","AeroCentury Corp.","20.9899","33721470.7743","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/acy",
"AIM","Aerosonic Corporation","7.74","31117385.16","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aim",
"AA^","Alcoa Inc.","93.419","0","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/aa^",
"AXX","Alderon Iron Ore Corp.","1.0483","136430130.2661","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/axx",
"AXU","Alexco Resource Corp","1.55","96989541.9","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/axu",
"ANV","Allied Nevada Gold Corp.","7.41","769819994.58","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/anv",
"AAU","Almaden Minerals, Ltd.","1.6","96027713.6","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aau",
"APT","Alpha Pro Tech, Ltd.","1.61","31455412.03","n/a","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/apt",
"ALTV","Alteva (D/B/A)","9.8","60313708","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/altv",
"DIT","AMCON Distributing Company","74.79","46602770.85","n/a","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/dit",
"APP","American Apparel Inc","2","215526206","n/a","1994","Finance","Business Services","http://www.nasdaq.com/symbol/app",
"ADGE","American DG Energy Inc.","1.67","80979524.11","n/a","n/a","Energy","Electric Utilities: Central","http://www.nasdaq.com/symbol/adge",
"ALN","American Lorain Corporation","1.1461","39674215.9154","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/aln",
"AMS","American Shared Hospital Services","2.1","9672327","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/ams",
